Date,Open,High,Low,Close,Adj Close,Volume
2015-11-24,821.299988,868.450012,821.299988,833.400024,797.767334,16798
2015-11-26,844.950012,849.299988,835.049988,844.099976,808.009766,9117
2015-11-27,845.000000,853.250000,833.349976,838.500000,802.649292,4606
2015-11-30,837.000000,845.000000,834.950012,835.000000,799.299011,4725
2015-12-01,840.049988,842.000000,829.000000,837.450012,801.644165,3219
2015-12-02,835.549988,844.950012,835.000000,838.750000,802.888672,3207
2015-12-03,833.000000,844.099976,828.000000,831.349976,795.804871,3160
2015-12-04,847.000000,847.000000,824.000000,827.299988,791.928223,2054
2015-12-07,827.200012,837.200012,819.000000,821.450012,786.328308,3690
2015-12-08,825.049988,834.799988,802.000000,813.000000,778.239563,4817
2015-12-09,815.000000,815.450012,804.500000,808.150024,773.596985,8363
2015-12-10,808.099976,817.599976,806.299988,812.049988,777.330200,2950
2015-12-11,816.099976,821.000000,796.000000,803.099976,768.762878,3398
2015-12-14,815.750000,815.750000,785.250000,810.700012,776.038025,4239
2015-12-15,818.349976,834.000000,813.049988,829.250000,793.794800,5698
2015-12-16,829.950012,833.950012,817.299988,820.599976,785.514587,2115
2015-12-17,829.700012,830.000000,818.950012,828.400024,792.981140,2607
2015-12-18,827.950012,862.000000,827.950012,845.099976,808.967041,28213
2015-12-21,841.000000,852.200012,822.200012,840.450012,804.515991,4430
2015-12-22,848.500000,852.000000,830.200012,840.049988,804.132996,2685
2015-12-23,841.049988,854.000000,839.000000,843.900024,807.818359,2775
2015-12-24,842.099976,855.000000,840.000000,849.450012,813.131104,4253
2015-12-28,845.000000,907.799988,843.400024,883.849976,846.060303,27658
2015-12-29,879.000000,894.700012,856.299988,868.150024,831.031616,9743
2015-12-30,865.000000,882.549988,865.000000,870.299988,833.089722,6690
2015-12-31,854.099976,881.099976,845.000000,863.900024,826.963318,15115
2016-01-01,856.450012,878.000000,856.450012,863.349976,826.436768,3180
2016-01-04,878.000000,878.000000,850.000000,858.099976,821.411194,3269
2016-01-05,859.950012,885.000000,853.099976,864.700012,827.729126,6562
2016-01-06,872.000000,872.900024,857.000000,863.799988,826.867554,7246
2016-01-07,857.049988,873.599976,846.099976,850.549988,814.184021,11565
2016-01-08,850.049988,855.299988,833.700012,837.950012,802.122864,5007
2016-01-11,842.000000,855.000000,830.000000,845.650024,809.493652,6159
2016-01-12,845.049988,864.650024,838.799988,845.150024,809.014893,5532
2016-01-13,845.250000,849.950012,810.000000,824.500000,789.247925,5555
2016-01-14,821.000000,825.000000,815.000000,816.450012,781.542114,2628
