Date,Open,High,Low,Close,Adj Close,Volume
2015-06-16,893.000000,931.000000,890.500000,922.700012,899.194885,1391076
2015-06-17,939.000000,989.700012,929.000000,968.599976,943.925476,3064611
2015-06-18,970.950012,1001.299988,949.750000,989.150024,963.952148,2055606
2015-06-19,990.099976,1004.000000,971.750000,988.299988,963.123718,2022937
2015-06-22,980.349976,989.000000,976.099976,982.549988,957.520081,596362
2015-06-23,989.000000,1016.200012,983.000000,998.500000,973.063843,1025550
2015-06-24,999.000000,1003.500000,973.049988,978.799988,953.865723,746639
2015-06-25,971.000000,990.000000,971.000000,984.700012,959.615417,971596
2015-06-26,982.799988,997.450012,965.400024,982.549988,957.520081,698216
2015-06-29,941.099976,977.000000,941.099976,974.400024,949.577881,478322
2015-06-30,991.000000,1000.000000,985.250000,994.150024,968.824768,1349302
2015-07-01,1003.150024,1021.400024,995.000000,1018.099976,992.164612,1137665
2015-07-02,1025.900024,1033.699951,1011.250000,1019.450012,993.480164,939405
2015-07-03,1019.400024,1032.000000,1011.400024,1019.250000,993.285339,366409
2015-07-06,1000.000000,1023.049988,997.200012,1019.000000,993.041626,661947
2015-07-07,1023.000000,1025.000000,1011.750000,1017.349976,991.433594,521376
2015-07-08,1010.950012,1024.250000,987.500000,1018.700012,992.749268,1058367
2015-07-09,1021.000000,1051.699951,1017.250000,1037.150024,1010.729309,1547285
2015-07-10,1041.400024,1043.099976,1022.000000,1028.800049,1002.592041,1007382
2015-07-13,1041.099976,1044.699951,1031.400024,1039.250000,1012.775818,758710
2015-07-14,1039.500000,1061.000000,1033.199951,1053.849976,1027.003662,1323049
2015-07-15,1055.250000,1078.000000,1050.000000,1074.900024,1047.517700,901725
2015-07-16,1080.300049,1099.900024,1069.250000,1090.400024,1062.622681,738106
2015-07-17,1100.000000,1101.699951,1085.000000,1091.449951,1063.645996,507068
2015-07-20,1093.000000,1095.050049,1076.699951,1082.050049,1054.485352,433498
2015-07-21,1080.000000,1085.000000,1038.250000,1052.349976,1025.541992,896018
2015-07-22,1050.000000,1065.000000,1036.300049,1057.949951,1030.999512,607027
2015-07-23,1062.000000,1067.949951,1046.250000,1052.500000,1025.688110,425252
2015-07-24,1056.599976,1065.000000,1032.199951,1050.500000,1023.739136,1073863
2015-07-27,1050.000000,1050.000000,1031.000000,1036.400024,1009.998474,407681
2015-07-28,1024.849976,1025.000000,982.750000,991.150024,965.901123,1060000
2015-07-29,988.700012,988.700012,928.500000,950.700012,926.481506,2255849
2015-07-30,955.000000,979.000000,938.000000,956.549988,932.182617,1548731
2015-07-31,970.099976,1023.000000,970.099976,1011.900024,986.122498,1499411
2015-08-03,1009.450012,1020.000000,981.400024,989.750000,964.536743,1215377
